[1/413] g8_math_8.2A_2023_q1
[81/413] g8_math_8.4C_2016_q12
[82/413] g8_math_8.4C_2016_q39
[83/413] g8_math_8.4C_2016_q47
[84/413] g8_math_8.4C_2015_q5
[85/413] g8_math_8.5A_2025_q7
[86/413] g8_math_8.5A_2024_q34
[87/413] g8_math_8.5A_2023_q39
[88/413] g8_math_8.5A_2021_q31
[89/413] g8_math_8.5A_2019_q41
[90/413] g8_math_8.5A_2018_q14
[91/413] g8_math_8.5A_2017_q8
[92/413] g8_math_8.5B_2023_q22
[93/413] g8_math_8.5B_2022_q22
[94/413] g8_math_8.5B_2021_q13
[95/413] g8_math_8.5B_2018_q16
[96/413] g8_math_8.5B_2016_q16
[97/413] g8_math_8.5E_2025_q20
[98/413] g8_math_8.5E_2024_q23
[99/413] g8_math_8.5E_2022_q40
[100/413] g8_math_8.5E_2018_q34
[101/413] g8_math_8.5E_2017_q34
[102/413] g8_math_8.5E_2016_q9
[103/413] g8_math_8.5F_2025_q36
[104/413] g8_math_8.5F_2024_q13
[105/413] g8_math_8.5F_2023_q7
[106/413] g8_math_8.5F_2021_q37
[107/413] g8_math_8.5F_2019_q32
[108/413] g8_math_8.5F_2017_q1
[109/413] g8_math_8.5F_2016_q2
[110/413] g8_math_8.5G_2025_q3
[111/413] g8_math_8.5G_2025_q33
[112/413] g8_math_8.5G_2024_q3
[113/413] g8_math_8.5G_2024_q21
[114/413] g8_math_8.5G_2023_q3
[115/413] g8_math_8.5G_2023_q34
[116/413] g8_math_8.5G_2022_q32
[117/413] g8_math_8.5G_2022_q36
[118/413] g8_math_8.5G_2021_q2
[119/413] g8_math_8.5G_2021_q19
[120/413] g8_math_8.5G_2019_q5
[121/413] g8_math_8.5G_2019_q39
[122/413] g8_math_8.5G_2018_q6
[123/413] g8_math_8.5G_2018_q35
[124/413] g8_math_8.5G_2017_q11
[125/413] g8_math_8.5G_2017_q25
[126/413] g8_math_8.5G_2016_q25
[127/413] g8_math_8.5G_2016_q28
[128/413] g8_math_8.5G_2016_q56
[129/413] g8_math_8.5G_2015_q6
[130/413] g8_math_8.5H_2025_q12
[131/413] g8_math_8.5H_2024_q26
[132/413] g8_math_8.5H_2022_q18
[133/413] g8_math_8.5H_2021_q5
[134/413] g8_math_8.5H_2018_q30
[135/413] g8_math_8.5H_2016_q20
[136/413] g8_math_8.5I_2025_q16
[137/413] g8_math_8.5I_2025_q40
[138/413] g8_math_8.5I_2024_q5
[139/413] g8_math_8.5I_2024_q31
[140/413] g8_math_8.5I_2023_q20
[141/413] g8_math_8.5I_2023_q29
[142/413] g8_math_8.5I_2022_q13
[143/413] g8_math_8.5I_2022_q31
[144/413] g8_math_8.5I_2021_q10
[145/413] g8_math_8.5I_2021_q21
[146/413] g8_math_8.5I_2019_q12
[147/413] g8_math_8.5I_2019_q28
[148/413] g8_math_8.5I_2018_q11
[149/413] g8_math_8.5I_2018_q28
[150/413] g8_math_8.5I_2017_q19
[151/413] g8_math_8.5I_2017_q37
[152/413] g8_math_8.5I_2016_q14
[153/413] g8_math_8.5I_2016_q36
[154/413] g8_math_8.5I_2016_q54
[155/413] g8_math_8.5I_2015_q7
[156/413] g8_math_8.9A_2023_q13
[157/413] g8_math_8.9A_2022_q28
[158/413] g8_math_8.9A_2019_q3
[159/413] g8_math_8.9A_2017_q42
[160/413] g8_math_8.9A_2016_q50
[161/413] g8_math_8.9A_2015_q11
[162/413] g8_math_8.8A_2025_q14
[163/413] g8_math_8.8A_2024_q9
[164/413] g8_math_8.8A_2022_q3
[165/413] g8_math_8.8A_2021_q35
[166/413] g8_math_8.8A_2019_q30
[167/413] g8_math_8.8A_2018_q4
[168/413] g8_math_8.8A_2017_q15
[169/413] g8_math_8.8A_2016_q52
[170/413] g8_math_8.8A_2015_q8
[171/413] g8_math_8.8B_2022_q42
[172/413] g8_math_8.8B_2019_q25
[173/413] g8_math_8.8B_2018_q26
[174/413] g8_math_8.8B_2015_q9
[175/413] g8_math_8.8C_2025_q10
[176/413] g8_math_8.8C_2025_q22
[177/413] g8_math_8.8C_2024_q18
[178/413] g8_math_8.8C_2024_q38
[179/413] g8_math_8.8C_2023_q10
[180/413] g8_math_8.8C_2023_q36
[181/413] g8_math_8.8C_2022_q23
[182/413] g8_math_8.8C_2022_q35
[183/413] g8_math_8.8C_2021_q9
[184/413] g8_math_8.8C_2021_q28
[185/413] g8_math_8.8C_2019_q7
[186/413] g8_math_8.8C_2019_q14
[187/413] g8_math_8.8C_2018_q8
[188/413] g8_math_8.8C_2018_q23
[189/413] g8_math_8.8C_2017_q12
[190/413] g8_math_8.8C_2017_q23
[191/413] g8_math_8.8C_2016_q7
[192/413] g8_math_8.8C_2016_q31
[193/413] g8_math_8.8C_2016_q44
[194/413] g8_math_8.8C_2015_q10
[195/413] g8_math_8.3A_2024_q6
[196/413] g8_math_8.3A_2023_q38
[197/413] g8_math_8.3A_2021_q32
[198/413] g8_math_8.3A_2019_q4
[199/413] g8_math_8.3A_2018_q36
[200/413] g8_math_8.3A_2017_q17
[201/413] g8_math_8.3A_2016_q6
[202/413] g8_math_8.3A_2015_q12
[203/413] g8_math_8.3B_2025_q13
[204/413] g8_math_8.3B_2023_q11
[205/413] g8_math_8.3B_2022_q29
[206/413] g8_math_8.3B_2017_q20
[207/413] g8_math_8.3C_2025_q17
[208/413] g8_math_8.3C_2025_q29
[209/413] g8_math_8.3C_2024_q10
[210/413] g8_math_8.3C_2024_q28
[211/413] g8_math_8.3C_2023_q19
[212/413] g8_math_8.3C_2023_q33
[213/413] g8_math_8.3C_2022_q26
[214/413] g8_math_8.3C_2022_q37
[215/413] g8_math_8.3C_2021_q6
[216/413] g8_math_8.3C_2021_q20
[217/413] g8_math_8.3C_2019_q6
[218/413] g8_math_8.3C_2019_q24
[219/413] g8_math_8.3C_2018_q17
[220/413] g8_math_8.3C_2018_q29
[221/413] g8_math_8.3C_2017_q5
[222/413] g8_math_8.3C_2017_q36
[223/413] g8_math_8.3C_2016_q26
[224/413] g8_math_8.3C_2016_q51
[225/413] g8_math_8.3C_2015_q13
[226/413] g8_math_8.8D_2024_q14
[227/413] g8_math_8.8D_2023_q40
[228/413] g8_math_8.8D_2021_q27
[229/413] g8_math_8.8D_2019_q36
[230/413] g8_math_8.8D_2018_q13
[231/413] g8_math_8.8D_2016_q24
[232/413] g8_math_8.8D_2015_q18
[233/413] g8_math_8.10A_2023_q2
[234/413] g8_math_8.10A_2022_q19
[235/413] g8_math_8.10A_2021_q8
[236/413] g8_math_8.10A_2018_q10
[237/413] g8_math_8.10A_2016_q43
[238/413] g8_math_8.10A_2015_q19
[239/413] g8_math_8.10B_2025_q39
[240/413] g8_math_8.10B_2024_q17
[241/413] g8_math_8.10B_2022_q8
[242/413] g8_math_8.10B_2021_q12
[243/413] g8_math_8.10B_2016_q33
[244/413] g8_math_8.10B_2015_q20
[245/413] g8_math_8.10C_2025_q6
[246/413] g8_math_8.10C_2025_q32
[247/413] g8_math_8.10C_2024_q20
[248/413] g8_math_8.10C_2024_q35
[249/413] g8_math_8.10C_2023_q8
[250/413] g8_math_8.10C_2023_q21
[251/413] g8_math_8.10C_2022_q1
[252/413] g8_math_8.10C_2022_q12
[253/413] g8_math_8.10C_2021_q1
[254/413] g8_math_8.10C_2021_q30
[255/413] g8_math_8.10C_2019_q10
[256/413] g8_math_8.10C_2019_q42
[257/413] g8_math_8.10C_2018_q21
[258/413] g8_math_8.10C_2018_q31
[259/413] g8_math_8.10C_2017_q2
[260/413] g8_math_8.10C_2017_q27
[261/413] g8_math_8.10C_2016_q8
[262/413] g8_math_8.10C_2016_q19
[263/413] g8_math_8.10C_2016_q40
[264/413] g8_math_8.10C_2015_q21
[265/413] g8_math_8.10D_2025_q11
[266/413] g8_math_8.10D_2023_q35
[267/413] g8_math_8.10D_2019_q22
[268/413] g8_math_8.10D_2016_q13
[269/413] g8_math_8.6C_2025_q27
[270/413] g8_math_8.6C_2023_q4
[271/413] g8_math_8.6C_2019_q19
[272/413] g8_math_8.6C_2017_q26
[273/413] g8_math_8.6C_2016_q35
[274/413] g8_math_8.7C_2025_q19
[275/413] g8_math_8.7C_2025_q23
[276/413] g8_math_8.7C_2024_q19
[277/413] g8_math_8.7C_2024_q33
[278/413] g8_math_8.7C_2023_q23
[279/413] g8_math_8.7C_2022_q2
[280/413] g8_math_8.7C_2022_q25
[281/413] g8_math_8.7C_2021_q38
[282/413] g8_math_8.7C_2019_q8
[283/413] g8_math_8.7C_2019_q38
[284/413] g8_math_8.7C_2018_q5
[285/413] g8_math_8.7C_2018_q33
[286/413] g8_math_8.7C_2017_q9
[287/413] g8_math_8.7C_2017_q33
[288/413] g8_math_8.7C_2016_q15
[289/413] g8_math_8.7C_2016_q32
[290/413] g8_math_8.7C_2015_q16
[291/413] g8_math_8.7D_2025_q15
[292/413] g8_math_8.7D_2024_q22
[293/413] g8_math_8.7D_2022_q17
[294/413] g8_math_8.7D_2021_q36
[295/413] g8_math_8.7D_2018_q27
[296/413] g8_math_8.7D_2017_q22
[297/413] g8_math_8.7D_2016_q3
[298/413] g8_math_8.7D_2015_q17
[299/413] g8_math_8.6A_2025_q25
[300/413] g8_math_8.6A_2024_q12
[301/413] g8_math_8.6A_2023_q31
[302/413] g8_math_8.6A_2022_q15
[303/413] g8_math_8.6A_2021_q14
[304/413] g8_math_8.6A_2019_q15
[305/413] g8_math_8.6A_2018_q7
[306/413] g8_math_8.6A_2017_q7
[307/413] g8_math_8.6A_2016_q29
[308/413] g8_math_8.7A_2025_q21
[309/413] g8_math_8.7A_2025_q35
[310/413] g8_math_8.7A_2024_q1
[311/413] g8_math_8.7A_2024_q30
[312/413] g8_math_8.7A_2023_q14
[313/413] g8_math_8.7A_2023_q27
[314/413] g8_math_8.7A_2022_q6
[315/413] g8_math_8.7A_2022_q33
[316/413] g8_math_8.7A_2021_q3
[317/413] g8_math_8.7A_2021_q18
[318/413] g8_math_8.7A_2019_q2
[319/413] g8_math_8.7A_2019_q31
[320/413] g8_math_8.7A_2018_q1
[321/413] g8_math_8.7A_2018_q25
[322/413] g8_math_8.7A_2017_q24
[323/413] g8_math_8.7A_2017_q41
[324/413] g8_math_8.7A_2016_q17
[325/413] g8_math_8.7A_2016_q38
[326/413] g8_math_8.7A_2016_q55
[327/413] g8_math_8.7A_2015_q14
[328/413] g8_math_8.7B_2025_q9
[329/413] g8_math_8.7B_2025_q37
[330/413] g8_math_8.7B_2024_q8
[331/413] g8_math_8.7B_2024_q25
[332/413] g8_math_8.7B_2023_q6
[333/413] g8_math_8.7B_2023_q25
[334/413] g8_math_8.7B_2022_q27
[335/413] g8_math_8.7B_2022_q34
[336/413] g8_math_8.7B_2021_q23
[337/413] g8_math_8.7B_2021_q40
[338/413] g8_math_8.7B_2019_q26
[339/413] g8_math_8.7B_2019_q34
[340/413] g8_math_8.7B_2018_q9
[341/413] g8_math_8.7B_2018_q39
[342/413] g8_math_8.7B_2017_q14
[343/413] g8_math_8.7B_2017_q38
[344/413] g8_math_8.7B_2016_q10
[345/413] g8_math_8.7B_2016_q45
[346/413] g8_math_8.7B_2015_q15
[347/413] g8_math_8.5C_2025_q18
[348/413] g8_math_8.5C_2024_q32
[349/413] g8_math_8.5C_2019_q13
[350/413] g8_math_8.5C_2018_q40
[351/413] g8_math_8.5C_2016_q53
[352/413] g8_math_8.5C_2015_q22
[353/413] g8_math_8.5D_2025_q8
[354/413] g8_math_8.5D_2025_q31
[355/413] g8_math_8.5D_2024_q4
[356/413] g8_math_8.5D_2024_q39
[357/413] g8_math_8.5D_2023_q12
[358/413] g8_math_8.5D_2023_q28
[359/413] g8_math_8.5D_2022_q4
[360/413] g8_math_8.5D_2022_q24
[361/413] g8_math_8.5D_2021_q11
[362/413] g8_math_8.5D_2021_q41
[363/413] g8_math_8.5D_2019_q21
[364/413] g8_math_8.5D_2019_q37
[365/413] g8_math_8.5D_2018_q2
[366/413] g8_math_8.5D_2018_q32
[367/413] g8_math_8.5D_2017_q10
[368/413] g8_math_8.5D_2017_q32
[369/413] g8_math_8.5D_2016_q23
[370/413] g8_math_8.5D_2016_q27
[371/413] g8_math_8.5D_2016_q46
[372/413] g8_math_8.5D_2015_q23
[373/413] g8_math_8.11A_2022_q20
[374/413] g8_math_8.11A_2021_q17
[375/413] g8_math_8.11A_2019_q16
[376/413] g8_math_8.11A_2017_q40
[377/413] g8_math_8.11A_2016_q11
[378/413] g8_math_8.11B_2022_q30
[379/413] g8_math_8.11B_2018_q19
[380/413] g8_math_8.11B_2016_q49
[381/413] g8_math_8.11B_2015_q24
[382/413] g8_math_8.12A_2025_q34
[383/413] g8_math_8.12A_2021_q4
[384/413] g8_math_8.12A_2019_q11
[385/413] g8_math_8.12A_2017_q21
[386/413] g8_math_8.12A_2015_q25
[387/413] g8_math_8.12C_2024_q7
[388/413] g8_math_8.12C_2021_q29
[389/413] g8_math_8.12D_2025_q2
[390/413] g8_math_8.12D_2025_q26
[391/413] g8_math_8.12D_2024_q16
[392/413] g8_math_8.12D_2024_q24
[393/413] g8_math_8.12D_2023_q17
[394/413] g8_math_8.12D_2023_q37
[395/413] g8_math_8.12D_2022_q10
[396/413] g8_math_8.12D_2022_q38
[397/413] g8_math_8.12D_2021_q7
[398/413] g8_math_8.12D_2021_q25
[399/413] g8_math_8.12D_2019_q23
[400/413] g8_math_8.12D_2019_q40
[401/413] g8_math_8.12D_2018_q12
[402/413] g8_math_8.12D_2018_q24
[403/413] g8_math_8.12D_2017_q16
[404/413] g8_math_8.12D_2017_q35
[405/413] g8_math_8.12D_2016_q4
[406/413] g8_math_8.12D_2016_q41
[407/413] g8_math_8.12D_2015_q26
[408/413] g8_math_8.12G_2023_q15
[409/413] g8_math_8.12G_2022_q14
[410/413] g8_math_8.12G_2018_q37
[411/413] g8_math_8.12G_2017_q13
[412/413] g8_math_8.12G_2016_q18
[413/413] g8_math_8.12G_2015_q27
Wrote 413 items to C:\Users\Casa-Desktop\Downloads\staar_first3_demo\collections\grade-8\math\data\staar_catalog.json
