[1/661] g10_elar_2.6A_2025_q14
[85/661] g10_elar_2.4F_2013_q33
[86/661] g10_elar_2.4F_2013_q34
[87/661] g10_elar_2.4F_2013_q35
[88/661] g10_elar_2.4F_2013_q36
[89/661] g10_elar_2.4F_2013_q37
[90/661] g10_elar_2.4F_2013_q38
[91/661] g10_elar_2.2A_2025_q25
[92/661] g10_elar_2.4E_2025_q23
[93/661] g10_elar_2.5C_2025_q24
[94/661] g10_elar_2.5D_2025_q26
[95/661] g10_elar_2.7D_2025_q27
[96/661] g10_elar_2.8A_2025_q28
[97/661] g10_elar_2.8B_2025_q29
[98/661] g10_elar_2.8F_2025_q30
[99/661] g10_elar_2.10B_2025_q31
[100/661] g10_elar_2.2A_2024_q10
[101/661] g10_elar_2.7D_2024_q11
[102/661] g10_elar_2.7D_2024_q13
[103/661] g10_elar_2.8A_2024_q12
[104/661] g10_elar_2.4H_2024_q17
[105/661] g10_elar_2.4H_2024_q18
[106/661] g10_elar_2.4H_2024_q19
[107/661] g10_elar_2.4H_2024_q20
[108/661] g10_elar_2.2B_2024_q21
[109/661] g10_elar_2.4F_2024_q22
[110/661] g10_elar_2.4F_2024_q27
[111/661] g10_elar_2.4G_2024_q29
[112/661] g10_elar_2.5C_2024_q24
[113/661] g10_elar_2.5D_2024_q25
[114/661] g10_elar_2.7D_2024_q26
[115/661] g10_elar_2.8B_2024_q28
[116/661] g10_elar_2.8F_2024_q23
[117/661] g10_elar_2.10B_2024_q30
[118/661] g10_elar_2.2A_2023_q11
[119/661] g10_elar_2.4G_2023_q14
[120/661] g10_elar_2.7D_2023_q12
[121/661] g10_elar_2.8B_2023_q15
[122/661] g10_elar_2.8C_2023_q13
[123/661] g10_elar_2.4H_2023_q19
[124/661] g10_elar_2.4H_2023_q20
[125/661] g10_elar_2.4H_2023_q21
[126/661] g10_elar_2.4H_2023_q22
[127/661] g10_elar_2.4F_2022_q24
[128/661] g10_elar_2.5C_2022_q21
[129/661] g10_elar_2.8A_2022_q20
[130/661] g10_elar_2.8A_2022_q22
[131/661] g10_elar_2.8A_2022_q25
[132/661] g10_elar_2.8B_2022_q23
[133/661] g10_elar_2.4H_2022_q34
[134/661] g10_elar_2.4H_2022_q35
[135/661] g10_elar_2.4H_2022_q36
[136/661] g10_elar_2.4H_2022_q37
[137/661] g10_elar_2.4H_2022_q38
[138/661] g10_elar_2.4F_2022_q51
[139/661] g10_elar_2.4G_2022_q48
[140/661] g10_elar_2.5D_2022_q52
[141/661] g10_elar_2.8A_2022_q47
[142/661] g10_elar_2.8A_2022_q53
[143/661] g10_elar_2.8B_2022_q49
[144/661] g10_elar_2.8C_2022_q50
[145/661] g10_elar_2.2A_2021_q30
[146/661] g10_elar_2.2B_2021_q32
[147/661] g10_elar_2.4F_2021_q27
[148/661] g10_elar_2.4F_2021_q28
[149/661] g10_elar_2.5D_2021_q33
[150/661] g10_elar_2.7D_2021_q26
[151/661] g10_elar_2.8A_2021_q29
[152/661] g10_elar_2.8A_2021_q31
[153/661] g10_elar_2.4F_2021_q34
[154/661] g10_elar_2.4F_2021_q35
[155/661] g10_elar_2.4F_2021_q36
[156/661] g10_elar_2.4F_2021_q37
[157/661] g10_elar_2.2B_2019_q46
[158/661] g10_elar_2.4F_2019_q47
[159/661] g10_elar_2.4F_2019_q45
[160/661] g10_elar_2.4F_2019_q51
[161/661] g10_elar_2.7D_2019_q49
[162/661] g10_elar_2.7D_2019_q50
[163/661] g10_elar_2.7D_2019_q52
[164/661] g10_elar_2.4F_2018_q25
[165/661] g10_elar_2.4F_2018_q23
[166/661] g10_elar_2.4F_2018_q24
[167/661] g10_elar_2.5D_2018_q21
[168/661] g10_elar_2.7D_2018_q19
[169/661] g10_elar_2.7D_2018_q20
[170/661] g10_elar_2.4F_2018_q33
[171/661] g10_elar_2.4F_2018_q34
[172/661] g10_elar_2.4F_2018_q35
[173/661] g10_elar_2.4F_2018_q36
[174/661] g10_elar_2.4F_2018_q37
[175/661] g10_elar_2.4F_2017_q27
[176/661] g10_elar_2.4F_2017_q29
[177/661] g10_elar_2.4F_2017_q30
[178/661] g10_elar_2.5D_2017_q31
[179/661] g10_elar_2.7D_2017_q26
[180/661] g10_elar_2.4F_2017_q32
[181/661] g10_elar_2.4F_2017_q33
[182/661] g10_elar_2.4F_2017_q34
[183/661] g10_elar_2.4F_2017_q35
[184/661] g10_elar_2.4F_2017_q36
[185/661] g10_elar_2.2B_2016_q44
[186/661] g10_elar_2.4F_2016_q46
[187/661] g10_elar_2.4F_2016_q47
[188/661] g10_elar_2.7D_2016_q45
[189/661] g10_elar_2.7D_2016_q48
[190/661] g10_elar_2.4F_2015_q23
[191/661] g10_elar_2.4F_2015_q24
[192/661] g10_elar_2.4F_2015_q25
[193/661] g10_elar_2.4F_2015_q28
[194/661] g10_elar_2.5D_2015_q26
[195/661] g10_elar_2.7D_2015_q27
[196/661] g10_elar_2.4F_2015_q35
[197/661] g10_elar_2.4F_2015_q36
[198/661] g10_elar_2.4F_2015_q37
[199/661] g10_elar_2.4F_2015_q38
[200/661] g10_elar_2.4F_2014_q29
[201/661] g10_elar_2.7D_2014_q31
[202/661] g10_elar_2.7D_2014_q32
[203/661] g10_elar_2.8C_2014_q33
[204/661] g10_elar_2.4F_2014_q34
[205/661] g10_elar_2.4F_2014_q35
[206/661] g10_elar_2.4F_2014_q36
[207/661] g10_elar_2.4F_2014_q37
[208/661] g10_elar_2.4F_2013_q4
[209/661] g10_elar_2.4F_2013_q6
[210/661] g10_elar_2.5D_2013_q5
[211/661] g10_elar_2.7D_2013_q2
[212/661] g10_elar_2.2B_2013_q23
[213/661] g10_elar_2.4F_2013_q25
[214/661] g10_elar_2.4F_2013_q27
[215/661] g10_elar_2.4F_2013_q28
[216/661] g10_elar_2.5D_2013_q29
[217/661] g10_elar_2.7D_2013_q24
[218/661] g10_elar_2.7D_2013_q26
[219/661] g10_elar_2.8C_2013_q30
[220/661] g10_elar_2.4F_2013_q12
[221/661] g10_elar_2.4F_2013_q13
[222/661] g10_elar_2.4F_2013_q14
[223/661] g10_elar_2.4F_2013_q15
[224/661] g10_elar_2.4F_2013_q16
[225/661] g10_elar_2.2B_2025_q15
[226/661] g10_elar_2.4F_2025_q16
[227/661] g10_elar_2.7B_2025_q18
[228/661] g10_elar_2.8F_2025_q17
[229/661] g10_elar_2.4H_2025_q19
[230/661] g10_elar_2.4H_2025_q20
[231/661] g10_elar_2.4H_2025_q21
[232/661] g10_elar_2.4H_2025_q22
[233/661] g10_elar_2.2B_2024_q14
[234/661] g10_elar_2.7B_2024_q15
[235/661] g10_elar_2.8D_2024_q16
[236/661] g10_elar_2.4H_2024_q17
[237/661] g10_elar_2.4H_2024_q18
[238/661] g10_elar_2.4H_2024_q19
[239/661] g10_elar_2.4H_2024_q20
[240/661] g10_elar_2.4F_2023_q16
[241/661] g10_elar_2.7B_2023_q17
[242/661] g10_elar_2.8F_2023_q18
[243/661] g10_elar_2.4H_2023_q19
[244/661] g10_elar_2.4H_2023_q20
[245/661] g10_elar_2.4H_2023_q21
[246/661] g10_elar_2.4H_2023_q22
[247/661] g10_elar_2.4F_2019_q19
[248/661] g10_elar_2.4F_2019_q20
[249/661] g10_elar_2.4F_2019_q21
[250/661] g10_elar_2.4F_2019_q22
[251/661] g10_elar_2.7B_2019_q23
[252/661] g10_elar_2.4F_2019_q32
[253/661] g10_elar_2.4F_2019_q33
[254/661] g10_elar_2.4F_2019_q34
[255/661] g10_elar_2.4F_2019_q35
[256/661] g10_elar_2.4F_2019_q36
[257/661] g10_elar_2.2A_2018_q38
[258/661] g10_elar_2.2B_2018_q39
[259/661] g10_elar_2.4F_2018_q40
[260/661] g10_elar_2.4F_2018_q42
[261/661] g10_elar_2.4F_2018_q43
[262/661] g10_elar_2.4F_2018_q45
[263/661] g10_elar_2.7B_2018_q41
[264/661] g10_elar_2.8E_2018_q44
[265/661] g10_elar_2.4F_2015_q47
[266/661] g10_elar_2.4F_2015_q48
[267/661] g10_elar_2.4F_2015_q49
[268/661] g10_elar_2.7B_2015_q46
[269/661] g10_elar_2.8E_2015_q50
[270/661] g10_elar_2.2A_2014_q38
[271/661] g10_elar_2.4F_2014_q39
[272/661] g10_elar_2.4F_2014_q40
[273/661] g10_elar_2.4F_2014_q41
[274/661] g10_elar_2.4F_2014_q43
[275/661] g10_elar_2.7B_2014_q44
[276/661] g10_elar_2.8E_2014_q42
[277/661] g10_elar_2.4F_2013_q18
[278/661] g10_elar_2.4F_2013_q19
[279/661] g10_elar_2.4F_2013_q20
[280/661] g10_elar_2.4F_2013_q21
[281/661] g10_elar_2.4F_2013_q22
[282/661] g10_elar_2.8D_2013_q17
[283/661] g10_elar_2.4C_2024_q1
[284/661] g10_elar_2.5C_2024_q2
[285/661] g10_elar_2.6A_2024_q9
[286/661] g10_elar_2.6B_2024_q3
[287/661] g10_elar_2.7C_2024_q4
[288/661] g10_elar_2.8A_2024_q5
[289/661] g10_elar_2.8D_2024_q6
[290/661] g10_elar_2.8E_2024_q7
[291/661] g10_elar_2.8F_2024_q8
[292/661] g10_elar_2.2A_2022_q44
[293/661] g10_elar_2.2B_2022_q41
[294/661] g10_elar_2.4F_2022_q43
[295/661] g10_elar_2.5C_2022_q40
[296/661] g10_elar_2.5C_2022_q42
[297/661] g10_elar_2.6B_2022_q39
[298/661] g10_elar_2.6B_2022_q45
[299/661] g10_elar_2.7C_2022_q46
[300/661] g10_elar_2.4F_2021_q19
[301/661] g10_elar_2.4F_2021_q20
[302/661] g10_elar_2.4F_2021_q21
[303/661] g10_elar_2.4F_2021_q22
[304/661] g10_elar_2.4F_2021_q23
[305/661] g10_elar_2.8F_2021_q24
[306/661] g10_elar_2.8F_2021_q25
[307/661] g10_elar_2.4F_2021_q34
[308/661] g10_elar_2.4F_2021_q35
[309/661] g10_elar_2.4F_2021_q36
[310/661] g10_elar_2.4F_2021_q37
[311/661] g10_elar_2.2B_2017_q19
[312/661] g10_elar_2.4F_2017_q22
[313/661] g10_elar_2.4F_2017_q25
[314/661] g10_elar_2.8F_2017_q20
[315/661] g10_elar_2.8F_2017_q21
[316/661] g10_elar_2.8F_2017_q23
[317/661] g10_elar_2.8F_2017_q24
[318/661] g10_elar_2.4F_2017_q32
[319/661] g10_elar_2.4F_2017_q33
[320/661] g10_elar_2.4F_2017_q34
[321/661] g10_elar_2.4F_2017_q35
[322/661] g10_elar_2.4F_2017_q36
[323/661] g10_elar_2.2A_2016_q29
[324/661] g10_elar_2.4F_2016_q32
[325/661] g10_elar_2.4F_2016_q33
[326/661] g10_elar_2.8F_2016_q30
[327/661] g10_elar_2.8F_2016_q31
[328/661] g10_elar_2.8F_2016_q34
[329/661] g10_elar_2.4F_2016_q35
[330/661] g10_elar_2.4F_2016_q36
[331/661] g10_elar_2.4F_2016_q37
[332/661] g10_elar_2.4F_2016_q38
[333/661] g10_elar_2.2B_2013_q7
[334/661] g10_elar_2.4F_2013_q11
[335/661] g10_elar_2.8F_2013_q8
[336/661] g10_elar_2.8F_2013_q9
[337/661] g10_elar_2.8F_2013_q10
[338/661] g10_elar_2.4F_2013_q12
[339/661] g10_elar_2.4F_2013_q13
[340/661] g10_elar_2.4F_2013_q14
[341/661] g10_elar_2.4F_2013_q15
[342/661] g10_elar_2.4F_2013_q16
[343/661] g10_elar_2.2A_2025_q1
[344/661] g10_elar_2.4G_2025_q2
[345/661] g10_elar_2.5C_2025_q4
[346/661] g10_elar_2.7E_2025_q3
[347/661] g10_elar_2.7E_2025_q9
[348/661] g10_elar_2.7E_2025_q5
[349/661] g10_elar_2.8A_2025_q6
[350/661] g10_elar_2.8B_2025_q7
[351/661] g10_elar_2.8D_2025_q8
[352/661] g10_elar_2.8G_2025_q10
[353/661] g10_elar_2.2B_2023_q5
[354/661] g10_elar_2.4F_2023_q1
[355/661] g10_elar_2.5C_2023_q4
[356/661] g10_elar_2.5D_2023_q10
[357/661] g10_elar_2.7E_2023_q8
[358/661] g10_elar_2.7E_2023_q6
[359/661] g10_elar_2.7E_2023_q3
[360/661] g10_elar_2.8A_2023_q7
[361/661] g10_elar_2.8F_2023_q2
[362/661] g10_elar_2.8G_2023_q9
[363/661] g10_elar_2.2B_2021_q40
[364/661] g10_elar_2.4F_2021_q42
[365/661] g10_elar_2.4F_2021_q43
[366/661] g10_elar_2.4F_2021_q44
[367/661] g10_elar_2.5C_2021_q38
[368/661] g10_elar_2.5C_2021_q45
[369/661] g10_elar_2.7D_2021_q39
[370/661] g10_elar_2.7D_2021_q41
[371/661] g10_elar_2.2A_2019_q44
[372/661] g10_elar_2.2B_2019_q38
[373/661] g10_elar_2.4F_2019_q39
[374/661] g10_elar_2.4F_2019_q40
[375/661] g10_elar_2.4F_2019_q41
[376/661] g10_elar_2.4F_2019_q42
[377/661] g10_elar_2.4F_2019_q43
[378/661] g10_elar_2.7D_2019_q37
[379/661] g10_elar_2.2B_2018_q26
[380/661] g10_elar_2.4F_2018_q29
[381/661] g10_elar_2.4F_2018_q30
[382/661] g10_elar_2.4F_2018_q31
[383/661] g10_elar_2.4F_2018_q32
[384/661] g10_elar_2.7D_2018_q27
[385/661] g10_elar_2.7D_2018_q28
[386/661] g10_elar_2.4F_2018_q33
[387/661] g10_elar_2.4F_2018_q34
[388/661] g10_elar_2.4F_2018_q35
[389/661] g10_elar_2.4F_2018_q36
[390/661] g10_elar_2.4F_2018_q37
[391/661] g10_elar_2.2B_2017_q41
[392/661] g10_elar_2.4F_2017_q37
[393/661] g10_elar_2.4F_2017_q39
[394/661] g10_elar_2.4F_2017_q40
[395/661] g10_elar_2.4F_2017_q42
[396/661] g10_elar_2.4F_2017_q44
[397/661] g10_elar_2.7D_2017_q38
[398/661] g10_elar_2.7D_2017_q43
[399/661] g10_elar_2.4F_2016_q39
[400/661] g10_elar_2.4F_2016_q40
[401/661] g10_elar_2.4F_2016_q43
[402/661] g10_elar_2.7D_2016_q41
[403/661] g10_elar_2.7D_2016_q42
[404/661] g10_elar_2.2B_2015_q30
[405/661] g10_elar_2.4F_2015_q32
[406/661] g10_elar_2.4F_2015_q33
[407/661] g10_elar_2.4F_2015_q34
[408/661] g10_elar_2.7D_2015_q29
[409/661] g10_elar_2.7D_2015_q31
[410/661] g10_elar_2.4F_2015_q35
[411/661] g10_elar_2.4F_2015_q36
[412/661] g10_elar_2.4F_2015_q37
[413/661] g10_elar_2.4F_2015_q38
[414/661] g10_elar_2.7D_2014_q45
[415/661] g10_elar_2.4F_2014_q46
[416/661] g10_elar_2.7D_2014_q47
[417/661] g10_elar_2.4F_2014_q48
[418/661] g10_elar_2.7D_2014_q49
[419/661] g10_elar_2.10B_2025_q31
[420/661] g10_elar_2.10B_2024_q30
[421/661] g10_elar_2.10B_2023_q30
[422/661] g10_elar_2.10C_2022_q19
[423/661] g10_elar_2.9B_2025_q35
[424/661] g10_elar_2.9B_2025_q36
[425/661] g10_elar_2.9B_2025_q34
[426/661] g10_elar_2.9C_2025_q32
[427/661] g10_elar_2.9C_2025_q33
[428/661] g10_elar_2.9B_2025_q41
[429/661] g10_elar_2.9B_2025_q43
[430/661] g10_elar_2.9C_2025_q37
[431/661] g10_elar_2.9C_2025_q38
[432/661] g10_elar_2.9C_2025_q39
[433/661] g10_elar_2.9C_2025_q40
[434/661] g10_elar_2.9C_2025_q42
[435/661] g10_elar_2.9B_2024_q31
[436/661] g10_elar_2.9B_2024_q34
[437/661] g10_elar_2.9C_2024_q32
[438/661] g10_elar_2.9C_2024_q33
[439/661] g10_elar_2.9C_2024_q35
[440/661] g10_elar_2.9C_2024_q36
[441/661] g10_elar_2.9B_2024_q38
[442/661] g10_elar_2.9B_2024_q39
[443/661] g10_elar_2.9B_2024_q41
[444/661] g10_elar_2.9C_2024_q37
[445/661] g10_elar_2.9C_2024_q40
[446/661] g10_elar_2.9C_2024_q42
[447/661] g10_elar_2.9B_2023_q36
[448/661] g10_elar_2.9C_2023_q31
[449/661] g10_elar_2.9C_2023_q32
[450/661] g10_elar_2.9C_2023_q33
[451/661] g10_elar_2.9C_2023_q34
[452/661] g10_elar_2.9C_2023_q35
[453/661] g10_elar_2.9B_2023_q37
[454/661] g10_elar_2.9B_2023_q39
[455/661] g10_elar_2.9B_2023_q40
[456/661] g10_elar_2.9B_2023_q38
[457/661] g10_elar_2.9C_2023_q41
[458/661] g10_elar_2.9B_2022_q3
[459/661] g10_elar_2.9C_2022_q1
[460/661] g10_elar_2.9C_2022_q2
[461/661] g10_elar_2.9C_2022_q4
[462/661] g10_elar_2.9B_2022_q9
[463/661] g10_elar_2.9B_2022_q5
[464/661] g10_elar_2.9B_2022_q7
[465/661] g10_elar_2.9C_2022_q6
[466/661] g10_elar_2.9C_2022_q8
[467/661] g10_elar_2.9B_2021_q2
[468/661] g10_elar_2.9B_2021_q3
[469/661] g10_elar_2.9B_2021_q4
[470/661] g10_elar_2.9C_2021_q1
[471/661] g10_elar_2.9B_2021_q5
[472/661] g10_elar_2.9B_2021_q6
[473/661] g10_elar_2.9B_2021_q7
[474/661] g10_elar_2.9B_2021_q9
[475/661] g10_elar_2.9C_2021_q8
[476/661] g10_elar_2.9B_2019_q1
[477/661] g10_elar_2.9B_2019_q2
[478/661] g10_elar_2.9B_2019_q3
[479/661] g10_elar_2.9B_2019_q4
[480/661] g10_elar_2.9B_2019_q7
[481/661] g10_elar_2.9B_2019_q9
[482/661] g10_elar_2.9B_2019_q5
[483/661] g10_elar_2.9B_2019_q6
[484/661] g10_elar_2.9B_2019_q8
[485/661] g10_elar_2.9B_2018_q2
[486/661] g10_elar_2.9B_2018_q5
[487/661] g10_elar_2.9B_2018_q1
[488/661] g10_elar_2.9B_2018_q3
[489/661] g10_elar_2.9B_2018_q4
[490/661] g10_elar_2.9B_2018_q6
[491/661] g10_elar_2.9B_2018_q7
[492/661] g10_elar_2.9B_2018_q8
[493/661] g10_elar_2.9B_2018_q9
[494/661] g10_elar_2.9B_2017_q1
[495/661] g10_elar_2.9B_2017_q2
[496/661] g10_elar_2.9B_2017_q3
[497/661] g10_elar_2.9B_2017_q4
[498/661] g10_elar_2.9B_2017_q5
[499/661] g10_elar_2.9B_2017_q6
[500/661] g10_elar_2.9B_2017_q7
[501/661] g10_elar_2.9B_2017_q8
[502/661] g10_elar_2.9B_2017_q9
[503/661] g10_elar_2.9B_2016_q1
[504/661] g10_elar_2.9B_2016_q2
[505/661] g10_elar_2.9B_2016_q3
[506/661] g10_elar_2.9B_2016_q4
[507/661] g10_elar_2.9B_2016_q5
[508/661] g10_elar_2.9B_2016_q6
[509/661] g10_elar_2.9B_2016_q7
[510/661] g10_elar_2.9B_2016_q8
[511/661] g10_elar_2.9B_2016_q9
[512/661] g10_elar_2.9B_2016_q10
[513/661] g10_elar_2.9B_2016_q11
[514/661] g10_elar_2.9B_2015_q2
[515/661] g10_elar_2.9B_2015_q3
[516/661] g10_elar_2.9B_2015_q4
[517/661] g10_elar_2.9B_2015_q6
[518/661] g10_elar_2.9B_2015_q1
[519/661] g10_elar_2.9B_2015_q7
[520/661] g10_elar_2.9B_2015_q8
[521/661] g10_elar_2.9B_2015_q9
[522/661] g10_elar_2.9B_2015_q10
[523/661] g10_elar_2.9B_2015_q11
[524/661] g10_elar_2.9B_2014_q1
[525/661] g10_elar_2.9B_2014_q2
[526/661] g10_elar_2.9B_2014_q3
[527/661] g10_elar_2.9B_2014_q4
[528/661] g10_elar_2.9B_2014_q5
[529/661] g10_elar_2.9B_2014_q6
[530/661] g10_elar_2.9B_2014_q8
[531/661] g10_elar_2.9B_2014_q10
[532/661] g10_elar_2.9B_2014_q11
[533/661] g10_elar_2.9B_2014_q7
[534/661] g10_elar_2.9B_2014_q9
[535/661] g10_elar_2.9B_2013_q1
[536/661] g10_elar_2.9B_2013_q2
[537/661] g10_elar_2.9B_2013_q3
[538/661] g10_elar_2.9B_2013_q4
[539/661] g10_elar_2.9B_2013_q5
[540/661] g10_elar_2.9B_2013_q6
[541/661] g10_elar_2.9B_2013_q7
[542/661] g10_elar_2.9B_2013_q8
[543/661] g10_elar_2.9B_2013_q9
[544/661] g10_elar_2.9B_2013_q10
[545/661] g10_elar_2.9B_2013_q12
[546/661] g10_elar_2.9B_2013_q13
[547/661] g10_elar_2.9B_2013_q14
[548/661] g10_elar_2.9B_2013_q11
[549/661] g10_elar_2.9B_2013_q15
[550/661] g10_elar_2.9D_2025_q44
[551/661] g10_elar_2.9D_2025_q47
[552/661] g10_elar_2.9D_2025_q45
[553/661] g10_elar_2.9D_2025_q52
[554/661] g10_elar_2.9D_2025_q48
[555/661] g10_elar_2.9D_2025_q49
[556/661] g10_elar_2.9D_2025_q51
[557/661] g10_elar_2.9D_2024_q43
[558/661] g10_elar_2.9D_2024_q44
[559/661] g10_elar_2.9D_2024_q45
[560/661] g10_elar_2.9D_2024_q47
[561/661] g10_elar_2.9D_2024_q46
[562/661] g10_elar_2.9D_2024_q50
[563/661] g10_elar_2.9D_2024_q51
[564/661] g10_elar_2.9D_2024_q52
[565/661] g10_elar_2.9D_2024_q49
[566/661] g10_elar_2.9D_2023_q44
[567/661] g10_elar_2.9D_2023_q43
[568/661] g10_elar_2.9D_2023_q47
[569/661] g10_elar_2.9D_2023_q45
[570/661] g10_elar_2.9D_2023_q46
[571/661] g10_elar_2.9D_2023_q42
[572/661] g10_elar_2.9D_2023_q48
[573/661] g10_elar_2.9D_2023_q50
[574/661] g10_elar_2.9D_2023_q51
[575/661] g10_elar_2.9D_2023_q52
[576/661] g10_elar_2.9D_2023_q49
[577/661] g10_elar_2.9D_2022_q10
[578/661] g10_elar_2.9D_2022_q11
[579/661] g10_elar_2.9D_2022_q12
[580/661] g10_elar_2.9D_2022_q13
[581/661] g10_elar_2.9D_2022_q14
[582/661] g10_elar_2.9D_2022_q17
[583/661] g10_elar_2.9D_2022_q15
[584/661] g10_elar_2.9D_2022_q16
[585/661] g10_elar_2.9D_2022_q18
[586/661] g10_elar_2.9D_2021_q12
[587/661] g10_elar_2.9D_2021_q14
[588/661] g10_elar_2.9D_2021_q11
[589/661] g10_elar_2.9D_2021_q13
[590/661] g10_elar_2.9D_2021_q10
[591/661] g10_elar_2.9D_2021_q18
[592/661] g10_elar_2.9D_2021_q15
[593/661] g10_elar_2.9D_2021_q16
[594/661] g10_elar_2.9D_2021_q17
[595/661] g10_elar_2.9D_2019_q10
[596/661] g10_elar_2.9D_2019_q11
[597/661] g10_elar_2.9D_2019_q12
[598/661] g10_elar_2.9D_2019_q13
[599/661] g10_elar_2.9D_2019_q14
[600/661] g10_elar_2.9D_2019_q16
[601/661] g10_elar_2.9D_2019_q15
[602/661] g10_elar_2.9D_2019_q17
[603/661] g10_elar_2.9D_2019_q18
[604/661] g10_elar_2.9D_2018_q11
[605/661] g10_elar_2.9D_2018_q12
[606/661] g10_elar_2.9D_2018_q10
[607/661] g10_elar_2.9D_2018_q15
[608/661] g10_elar_2.9D_2018_q16
[609/661] g10_elar_2.9D_2018_q14
[610/661] g10_elar_2.9D_2018_q17
[611/661] g10_elar_2.9D_2018_q18
[612/661] g10_elar_2.9D_2017_q12
[613/661] g10_elar_2.9D_2017_q11
[614/661] g10_elar_2.9D_2017_q10
[615/661] g10_elar_2.9D_2017_q13
[616/661] g10_elar_2.9D_2017_q16
[617/661] g10_elar_2.9D_2017_q15
[618/661] g10_elar_2.9D_2017_q17
[619/661] g10_elar_2.9D_2017_q18
[620/661] g10_elar_2.9D_2016_q12
[621/661] g10_elar_2.9D_2016_q13
[622/661] g10_elar_2.9D_2016_q15
[623/661] g10_elar_2.9D_2016_q16
[624/661] g10_elar_2.9D_2016_q19
[625/661] g10_elar_2.9D_2016_q17
[626/661] g10_elar_2.9D_2016_q22
[627/661] g10_elar_2.9D_2016_q18
[628/661] g10_elar_2.9D_2016_q21
[629/661] g10_elar_2.9D_2015_q16
[630/661] g10_elar_2.9D_2015_q15
[631/661] g10_elar_2.9D_2015_q12
[632/661] g10_elar_2.9D_2015_q13
[633/661] g10_elar_2.9D_2015_q21
[634/661] g10_elar_2.9D_2015_q18
[635/661] g10_elar_2.9D_2015_q22
